product_id,title,garment,photo,view,annotators,art_w_cm,art_h_cm,implied_garment_cm,implied_band_cm,garment_range_cm,delta_G_pct,delta_range_pct,band_decisive,alpha_excess_pct,pose_regime,offset_abs_band_cm,offset_visible_pct_torso,offset_chord_cm,offset_torso_cm,rotation_deg,collar_to_art_top_cm,inter_annotator_max_pct,confidence,scale_verdict,position_verdict,notes
352619175,Salmo 19 | Moletom Canguru,Moletom Canguru,352619175-preta.jpg,back,g4,35.2,28.8,81.15,71.11-91.2,60-70,-19.9,-26.1 a -13.7,sim,0,frontal,0-12.3,0,2.53,0,-1.4,9.37,0.00,65,REPROVADO-DURO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de 0 a 0.01 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 12.3 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 0% da largura do tronco) | comprimento implicito 81.2 cm (faixa 71.11-91.2) fora da faixa fisica 60-70 cm: nenhum tamanho real explica esta geometria | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | gola oculta pelo capuz"
352702020,Salmo 19 | Camiseta Premium,Camiseta Premium,352702020-branca-v4i.jpg,back,g4,35.2,28.8,76.25,70.53-81.63,70.5-85,-1,-7.5 a 11.5,nao,0,frontal,0-10.06,2.8,4.37,0.99,-3.5,6.23,0.00,90,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -1.66 a 1.05 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 10.06 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 2.8% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada"
352702020,Salmo 19 | Camiseta Premium,Camiseta Premium,352702020-preta.jpg,back,g4,35.2,28.8,76.48,68.89-83.93,70.5-85,-1.3,-7.8 a 11.1,nao,0,frontal,0-13.16,2.8,4.39,1,-3.5,6.42,0.00,50,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -1.2 a 0.85 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 13.16 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 2.8% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | gola com leitura indireta | barra com baixo contraste ou fora de quadro"
352702753,Monograma NIMBUS | Camiseta Oversized Premium,Camiseta Oversized Premium,352702753-off-white.jpg,front,gA,29.3,30.1,89.28,76.26-99.66,78-86,-8.2,-12.6 a -3.7,nao,6.4,vertical_comprimido,0-10.57,-5.8,-0.32,-2.55,-0.2,7.47,0.00,15,INCONCLUSIVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | excesso de anisotropia +6.4% : altura da arte comprimida (inclinacao de camera ou anotacao errada) — o eixo vertical nao e confiavel aqui | arte irregular com extremos de tinta declarados: vies projetivo de -5.36 a 1.72 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 10.57 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -5.8% da largura do tronco) | ressalva: front_view | ressalva: torso_edge_inferred_from_underarm | arte sem aresta desenhada | alpha positivo alto"
352702858,Fé Acima de Tudo | Camiseta Oversized Premium,Camiseta Oversized Premium,352702858-off-white.jpg,back,gF,35.1,24.6,77.9,65.22-82.9,78-86,5.3,0.1 a 10.4,nao,0,frontal,0-5.96,-2.5,-0.41,-1.14,0.6,6.31,0.00,60,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -11.02 a 0.5 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 5.96 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2.5% da largura do tronco) | comprimento implicito 77.9 cm cai fora da faixa 78-86 cm, MAS a incerteza declarada pelo anotador (faixa 65.22-82.9 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: lettering_sem_moldura | ressalva: halo_dourado_baixo_contraste | arte sem aresta desenhada"
352703153,Fé Acima de Tudo | Camiseta Premium,Camiseta Premium,352703153-branca.jpg,back,gA,35.2,24.6,,,70.5-85,,,,-6.4,guinada_forte,,,,,,,0.00,0,INCONCLUSIVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | sem barra anotada: comprimento implicito indeterminado | barra com baixo contraste ou fora de quadro | ressalva: torso_edge_inferred_from_underarm | ressalva: print_right_of_torso_center | arte sem aresta desenhada | barra nao anotada | pose 3/4 forte, alpha -25.9%"
352717723,Brasão NIMBUS | Camiseta Oversized Premium,Camiseta Oversized Premium,352717723-off-white.jpg,back,gB,29.6,40,83.26,76.25-90.39,78-86,-1.5,-6.3 a 3.3,nao,-6.9,guinada_forte,0-12.4,-4.4,-4.63,-1.65,0,7.68,0.00,15,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.67 a 0.71 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 12.4 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -4.4% da largura do tronco) | largura plana implicita 37.9-59.5 cm nao encosta na faixa real 62-70 cm | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: art_extremes_are_loose_flourishes | barra com baixo contraste ou fora de quadro | arte sem aresta desenhada | pose 3/4 forte, alpha -16.0% | eixos de largura e comprimento discordam"
352717723,Brasão NIMBUS | Camiseta Oversized Premium,Camiseta Oversized Premium,352717723-preta.jpg,back,gB,29.6,40,82.52,73.58-91.63,78-86,-0.6,-5.5 a 4.2,nao,-6.9,guinada_forte,0-15.52,3.1,-5.07,1.16,0,7.96,0.00,0,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.61 a 0.68 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 15.52 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 3.1% da largura do tronco) | largura plana implicita 38.1-59.8 cm nao encosta na faixa real 62-70 cm | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: art_extremes_are_loose_flourishes | arte sem aresta desenhada | gola com leitura indireta | barra com baixo contraste ou fora de quadro | pose 3/4 forte, alpha -16.0% | eixos de largura e comprimento discordam"
352717837,Brasão NIMBUS | Camiseta Premium,Camiseta Premium,352717837-preta.jpg,back,gB,29.6,40,82.53,77.21-87.99,70.5-85,-8.5,-14.6 a 3,nao,0,frontal,0-9.75,-4.4,-3.17,-1.46,0,6.96,0.00,55,FORA-DO-ALVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.65 a 0.73 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 9.75 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -4.4% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: art_extremes_are_loose_flourishes | barra com baixo contraste ou fora de quadro | arte sem aresta desenhada"
352718787,São Jorge Neobarroco | Moletom Canguru,Moletom Canguru,352718787-branca.jpg,back,gB,31,40,67.8,55.25-79.61,60-70,-4.1,-11.5 a 3.2,nao,0,frontal,0-16.14,-8.2,-2.16,-3.53,-1,9.45,0.00,25,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -3.21 a 1.39 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 16.14 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -8.2% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: frame_box_not_full_ink_box | laterais do tronco nao visiveis | gola oculta pelo capuz | ressalva: arms_raised_torso_edges_are_drape_creases | arte sem aresta desenhada"
352718787,São Jorge Neobarroco | Moletom Canguru,Moletom Canguru,352718787-preta-v4.jpg,back,z787,31,40,73.8,64.16-83.43,60-70,-11.9,-18.7 a -5.1,nao,0,frontal,0-15.49,-8.7,-4.49,-3.47,5.1,11.39,0.00,60,FORA-DO-ALVO,INCONCLUSIVO,"deslocamento entre 0 e 15.49 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -8.7% da largura do tronco) | comprimento implicito 73.8 cm cai fora da faixa 60-70 cm, MAS a incerteza declarada pelo anotador (faixa 64.16-83.43 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | gola oculta pelo capuz | ressalva: torso_rotacionado"
352718943,São Jorge Neobarroco | Camiseta Oversized Premium,Camiseta Oversized Premium,352718943-preta-v4c.jpg,back,gC,30.8,40,76.83,69.49-84.17,78-86,6.7,1.5 a 11.9,nao,0,frontal,0-10.83,-3.7,1.29,-1.53,-1.7,6.63,0.00,35,ACEITAVEL,INCONCLUSIVO,"deslocamento entre 0 e 10.83 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -3.7% da largura do tronco) | largura plana implicita 38.9-61.1 cm nao encosta na faixa real 62-70 cm | comprimento implicito 76.8 cm cai fora da faixa 78-86 cm, MAS a incerteza declarada pelo anotador (faixa 69.49-84.17 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | desvio +6.7% fica entre 5% e 8%: aceitavel, permanece no ar. So refazer se a peca for regerada por outro motivo | gola oculta pelo cabelo | laterais do tronco nao visiveis | ressalva: art_crest_and_pendant_exceed_frame_corners | eixos de largura e comprimento discordam"
352718999,São Jorge Neobarroco | Camiseta Premium,Camiseta Premium,352718999-branca.jpg,back,gC,31,40,69.15,62.91-75.4,70.5-85,9.2,1.9 a 22.9,nao,0,frontal,0-14.25,-2.1,-5.01,-0.82,-2.2,8.97,0.00,35,FORA-DO-ALVO,INCONCLUSIVO,"deslocamento entre 0 e 14.25 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2.1% da largura do tronco) | comprimento implicito 69.2 cm cai fora da faixa 70.5-85 cm, MAS a incerteza declarada pelo anotador (faixa 62.91-75.4 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | gola oculta pelo cabelo | ressalva: art_rotated_about_2.8deg | laterais do tronco nao visiveis | ressalva: art_crest_and_pendant_exceed_frame_corners"
352718999,São Jorge Neobarroco | Camiseta Premium,Camiseta Premium,352718999-preta-v4c.jpg,back,gC,31,40,70.63,63.4-77.87,70.5-85,6.9,-0.2 a 20.3,nao,0,frontal,0-15.82,-2.3,-5.41,-0.89,-2.2,9.09,0.00,15,ACEITAVEL,INCONCLUSIVO,"deslocamento entre 0 e 15.82 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2.3% da largura do tronco) | desvio +6.9% fica entre 5% e 8%: aceitavel, permanece no ar. So refazer se a peca for regerada por outro motivo | gola oculta pelo cabelo | gola com leitura indireta | ressalva: art_rotated_about_2.5deg | laterais do tronco nao visiveis | ressalva: art_crest_and_pendant_exceed_frame_corners"
352720257,Acima de Tudo Gótico | Camiseta Oversized Premium,Camiseta Oversized Premium,352720257-off-white.jpg,front,gC,35,33.8,93.74,86.56-100.91,78-86,-12.5,-16.8 a -8.3,sim,0,frontal,0-9.43,9.7,0.87,3.56,-3.1,8.75,0.00,30,REPROVADO-DURO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -1.58 a 1.4 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 9.43 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 9.7% da largura do tronco) | comprimento implicito 93.7 cm (faixa 86.56-100.91) fora da faixa fisica 78-86 cm: nenhum tamanho real explica esta geometria | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: front_view | gola com leitura indireta | arte sem aresta desenhada | laterais do tronco nao visiveis | ressalva: cross_included_in_bbox"
352721118,Fé Wildstyle | Camiseta Oversized Premium,Camiseta Oversized Premium,352721118-off-white.jpg,back,gD,33.7,40,86.31,79.43-93.14,78-86,-5,-9.6 a -0.4,nao,-3.4,guinada_moderada,0-10.75,-4.3,-4.8,-1.77,0.9,6.9,0.00,45,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.83 a 0.65 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 10.75 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -4.3% da largura do tronco) | comprimento implicito 86.3 cm cai fora da faixa 78-86 cm, MAS a incerteza declarada pelo anotador (faixa 79.43-93.14 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: back_view | ressalva: bbox_bottom_set_by_single_drip | arte sem aresta desenhada | pose com alpha -15.1%"
352721118,Fé Wildstyle | Camiseta Oversized Premium,Camiseta Oversized Premium,352721118-preta.jpg,back,gD,33.7,40,85.52,75.7-95.37,78-86,-4.1,-8.8 a 0.6,nao,-5,guinada_forte,0-11.13,-2.9,-3.71,-1.2,0.9,6.5,0.00,0,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.41 a 0.36 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 11.13 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2.9% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: back_view | ressalva: black_garment | ressalva: outer_black_outline_invisible | ressalva: measured_on_brightened_copy | arte sem aresta desenhada | gola com leitura indireta | barra com baixo contraste ou fora de quadro | pose 3/4 forte, alpha -16.7%"
